TDS,E.C,Na,Cl,T.H,HCO3,Mg,SAR,NO3,Ca,Classification
476.8,745,49.0,60,279.9342105,220.0,38.896,1.273327902,42.27681818,48.0,Moderate
589.44,921,42.0,80,399.8930921,230.0,63.206,0.913165517,100.6590909,56.0,Poor
326.4,510,45.0,30,219.9342105,200.0,38.896,1.319283964,41.47154545,24.0,Moderate
270.08,422,27.0,10,159.9671053,160.0,19.448,0.928155164,10.66986364,32.0,Moderate
1485.44,2321,298.0,340,519.84375,300.0,92.378,5.682664477,128.8436364,56.0,Bad
659.2,1030,73.0,60,339.9424342,340.0,34.034,1.72144176,66.435,80.0,Poor
1362.56,2129,162.0,330,739.7861842,340.0,126.412,2.589608252,193.2654545,88.0,Poor
628.48,982,85.0,40,299.9259868,210.0,43.758,2.133949028,144.9490909,48.0,Poor
1548.8,2420,321.0,290,519.8355263,420.0,97.24,6.121307804,134.8831818,48.0,Bad
160.0,250,10.20021285,30,99.98355263,57.63929176,9.724,0.443523991,24.3595,24.0,Moderate
1177.6,1840,150.3975766,380,599.8190789,207.8719019,106.964,2.669948378,159.444,64.0,Poor
992.0,1550,190.9923317,140,359.8766447,547.1956631,72.93,4.377349903,11.29395,24.0,Poor
889.6,1390,161.8440782,170,339.8848684,299.9504311,68.068,3.816832154,70.864,24.0,Poor
1612.8,2520,235.1246184,280,739.7203947,240.9818024,165.308,3.758689678,735.214,24.0,Bad
556.16,869,72.64980488,90,279.9259868,249.5312086,43.758,1.887926173,7.9722,40.0,Poor
500.48,782,22.59306207,60,259.9506579,114.2435835,29.172,0.609258784,219.2355,56.0,Poor
1843.2,2880,326.4744644,480,719.7368421,500.1277753,155.584,5.290960448,210.3775,32.0,Bad
313.6,490,29.8891904,40,159.9671053,177.4579446,19.448,1.027474311,0.4429,32.0,Moderate
646.4,1010,81.68477438,110,319.9424342,248.2682761,34.034,1.985534124,95.2235,72.0,Poor
294.4,460,39.99707701,30,99.99177632,142.3407799,4.862,1.739074858,0.8858,32.0,Moderate
691.84,1081,85.27975782,160,339.9259868,153.5363021,43.758,2.011064218,141.728,64.0,Poor
1331.2,2080,68.17983978,360,899.7532895,208.1390606,145.86,0.98824908,335.2753,120.0,Poor
825.6,1290,193.8426385,130,219.9506579,352.8490341,29.172,5.682753839,57.35555,40.0,Poor
634.24,991,73.11603375,110,339.9342105,242.0656571,38.896,1.724198853,18.136755,72.0,Poor
269.44,421,27.0,20,139.9671053,110.0,19.448,0.992254181,3.422409091,24.0,Moderate
258.56,404,16.0,40,159.9588816,110.0,24.31,0.550032013,22.145,24.0,Moderate
235.52,368,22.0,30,139.9753289,110.0,14.586,0.808479657,29.99640909,32.0,Moderate
929.28,1452,156.0,190,379.8930921,260.0,63.206,3.479894391,121.3948636,48.0,Poor
524.16,819,33.18059628,60,339.9671053,274.9990597,19.448,0.782416322,37.42505,104.0,Poor
735.36,1149,164.4849717,220,219.9835526,215.6713142,9.724,4.821734384,22.167145,72.0,Poor
764.16,1194,101.9418385,110,359.9506579,366.7292285,29.172,2.336162993,58.68425,96.0,Poor
924.8,1445,94.40207972,170,519.9506579,398.6932882,29.172,1.800000642,52.7051,160.0,Poor
498.56,779,57.11590859,60,239.9588816,275.0978692,24.31,1.603100831,10.164555,56.0,Poor
882.56,1379,80.16061447,160,519.9588816,316.4927306,24.31,1.528441078,118.6972,168.0,Poor
787.84,1231,105.3718166,120,379.9259868,346.3307385,43.758,2.35042897,38.31085,80.0,Poor
536.96,839,78.69718452,90,239.9671053,227.687161,19.448,2.20879547,52.04075,64.0,Poor
1425.28,2227,282.0,520,539.8684211,140.0,77.792,5.276881116,39.45836364,88.0,Poor
496.64,776,85.0,150,259.9177632,100.0,48.62,2.292308735,63.21390909,24.0,Poor
729.6,1140,135.0,110,259.9342105,190.0,38.896,3.640610452,77.30618182,40.0,Poor
399.36,624,92.0,100,139.9671053,100.0,19.448,3.381014248,45.09527273,24.0,Moderate
657.28,1027,107.0,140,299.9424342,180.0,34.034,2.686191595,41.67286364,64.0,Poor
360.96,564,70.0,50,179.9671053,140.0,19.448,2.268682068,5.234272727,40.0,Moderate
693.12,1083,30.0,170,539.8355263,190.0,97.24,0.561387435,62.40863636,56.0,Poor
622.72,973,165.0,100,120.0,200.0,5.0,6.548856666,62.81127273,48.0,Poor
933.12,1458,202.0,240,399.9177632,380.0,48.62,4.391755826,18.31995455,80.0,Poor
789.76,1234,165.0,140,199.9424342,310.0,34.034,5.073452757,22.74895455,24.0,Poor
809.6,1265,200.0,120,219.9342105,310.0,38.896,5.863484282,46.5045,24.0,Poor
474.88,742,52.0,120,279.9506579,90.0,29.172,1.351247058,43.68604545,64.0,Moderate
695.68,1087,112.0,150,299.9342105,140.0,38.896,2.811753112,82.54045455,56.0,Poor
676.48,1057,114.0,150,379.9013158,200.0,58.344,2.542972223,62.81127273,56.0,Poor
352.0,550,61.0,30,159.9506579,160.0,29.172,2.097050957,24.76213636,16.0,Moderate
1064.96,1664,188.0,230,439.9013158,230.0,58.344,3.897197208,177.16,80.0,Poor
590.72,923,114.0,110,259.9424342,210.0,34.034,3.07424464,72.87718182,48.0,Poor
673.92,1053,133.0,110,259.9424342,220.0,34.034,3.586618747,46.30318182,48.0,Poor
196.48,307,42.0,20,99.96710526,130.0,19.448,1.826387374,5.435590909,8.0,Moderate
819.2,1280,136.0,150,359.9095395,270.0,53.482,3.116839172,43.08209091,56.0,Poor
1188.48,1857,214.0,340,459.8930921,260.0,63.206,4.338678745,26.574,80.0,Poor
2105.6,3290,714.8001947,720,99.99177632,430.7977641,4.862,31.0795473,1.06296,32.0,Bad
1280.0,2000,92.84248259,340,799.7286184,356.3603859,160.446,1.427406237,149.92165,56.0,Poor
1356.8,2120,196.2029156,390,639.8519737,382.9369833,87.516,3.372390552,21.812825,112.0,Poor
1849.6,2890,218.734442,600,979.7203947,414.942978,165.308,3.038353229,68.2066,120.0,Bad
834.56,1304,44.22634977,190,559.9588816,275.9653557,24.31,0.812596957,77.9504,184.0,Poor
1779.2,2780,568.3305615,370,159.9588816,664.1472968,24.31,19.53750018,134.6416,24.0,Bad
810.24,1266,100.0220632,180,419.9342105,193.934322,38.896,2.122156188,183.13915,104.0,Poor
373.12,583,24.83216741,30,239.9588816,198.3671489,24.31,0.696976888,46.5045,56.0,Moderate
1055.36,1649,106.2358424,260,599.8026316,300.5375921,116.688,1.885988528,153.90775,48.0,Poor
2163.2,3380,589.2740193,570,359.8848684,575.9846386,68.068,13.50540662,154.5721,32.0,Bad
2086.4,3260,409.5295499,550,739.7779605,553.2378092,131.274,6.546462941,126.00505,80.0,Bad
1078.4,1685,279.7578626,80,239.9424342,489.7614248,34.034,7.852373252,108.5105,40.0,Poor
965.76,1509,87.94870116,200,559.8930921,368.4292466,63.206,1.616028589,92.5661,120.0,Poor
590.72,923,75.48433963,50,299.9342105,300.8101093,38.896,1.895029704,65.1063,56.0,Poor
677.76,1059,33.46075998,150,459.8930921,235.1172326,63.206,0.678390131,80.38635,80.0,Poor
835.2,1305,79.92125619,220,479.9506579,249.0475642,29.172,1.586120469,77.5075,144.0,Poor
758.4,1185,107.3902156,170,359.9424342,272.8950739,34.034,2.461049525,70.4211,88.0,Poor
627.2,980,70.54645356,50,339.9013158,391.4417759,58.344,1.663684335,12.246185,40.0,Poor
630.4,985,80.46929257,70,319.9342105,333.3975339,38.896,1.956014214,52.97084,64.0,Poor
2297.6,3590,409.1738344,720,679.8355263,552.000145,97.24,6.823042712,143.9425,112.0,Bad
399.36,624,42.2707476,60,219.9917763,189.9100716,4.862,1.239107169,34.5462,80.0,Moderate
598.4,935,77.92151393,80,299.9671053,306.5545796,19.448,1.956107552,33.88185,88.0,Poor
779.52,1218,106.1481337,100,379.9342105,380.2096233,38.896,2.367719913,81.9365,88.0,Poor
334.08,522,19.47194868,30,219.9753289,205.3209584,14.586,0.570813969,5.602685,64.0,Moderate
437.76,684,45.93396045,40,239.9753289,231.7319922,14.586,1.289207307,50.9335,72.0,Moderate
601.6,940,51.24898723,80,359.9259868,328.9507106,43.758,1.174494127,17.250955,72.0,Poor
563.84,881,65.56554923,40,299.9671053,353.1889565,19.448,1.645928827,14.460685,88.0,Poor
408.96,639,37.77247864,50,239.9671053,225.4979664,19.448,1.060160922,15.169325,64.0,Moderate
438.4,685,47.25617918,20,239.9588816,293.493258,24.31,1.326362864,8.63655,56.0,Moderate
613.76,959,65.10218026,100,339.9424342,300.531409,34.034,1.535200161,39.19665,80.0,Poor
384.0,600,27.65815402,60,239.9835526,171.8470359,9.724,0.776255367,35.432,80.0,Moderate
652.8,1020,52.25441718,100,399.9177632,254.9079567,48.62,1.136082382,106.7389,80.0,Poor
283.52,443,57.0,20,119.9671053,160.0,19.448,2.262642445,31.003,16.0,Moderate
462.08,722,89.0,70,199.9506579,220.0,29.172,2.736533392,31.40563636,32.0,Moderate
426.24,666,75.0,50,179.9506579,180.0,29.172,2.430841869,45.49790909,24.0,Moderate
558.08,872,114.0,80,219.9424342,170.0,34.034,3.342123558,142.3319545,32.0,Poor
225.28,352,44.0,20,99.97532895,120.0,14.586,1.913279506,20.73577273,16.0,Moderate
1555.2,2430,129.4793928,400,939.6628289,416.512779,199.342,1.8364825,221.45,48.0,Bad
648.96,1014,100.3156578,190,279.9259868,162.1474986,43.758,2.606869437,62.006,40.0,Poor
601.6,940,84.85990054,120,279.9917763,171.8690718,4.862,2.204966748,86.3655,104.0,Poor
1619.2,2530,168.6257531,380,899.8190789,474.2730924,106.964,2.444097167,243.595,184.0,Bad
698.88,1092,94.36825248,80,339.9177632,405.2368415,48.62,2.225415695,12.4012,56.0,Poor
918.4,1435,125.7870809,150,439.84375,420.2476493,92.378,2.607708184,66.435,24.0,Poor
704.0,1100,60.61068885,130,419.9013158,293.9329627,58.344,1.286020128,57.577,72.0,Poor
659.2,1030,35.72279257,130,439.9342105,231.7532008,38.896,0.740497673,93.009,112.0,Poor
675.2,1055,48.39248297,90,419.9013158,287.2857324,58.344,1.026777757,110.725,72.0,Poor
444.8,695,40.70985836,70,259.9177632,211.7210458,48.62,1.097877222,27.4598,24.0,Moderate
1091.2,1705,164.0807686,220,499.8519737,470.8198856,87.516,3.190870214,35.432,56.0,Poor
1104.0,1725,102.3019911,190,639.7779605,517.0686891,131.274,1.758496923,53.148,40.0,Poor
903.68,1412,115.8534108,160,459.9259868,232.708683,43.758,2.348751193,263.5255,112.0,Poor
590.08,922,103.5167455,130,239.9342105,174.4241532,38.896,2.905605748,95.2235,32.0,Poor
618.88,967,22.00807446,20,439.8519737,388.2618294,87.516,0.456247963,64.2205,32.0,Poor
822.4,1285,200.0,70,239.9259868,420.0,43.758,5.613885037,28.98981818,24.0,Poor
391.68,612,74.0,40,159.9588816,160.0,24.31,2.543898061,53.34931818,24.0,Moderate
449.28,702,84.0,40,179.9753289,230.0,14.586,2.722356283,54.55722727,48.0,Moderate
351.36,549,51.0,30,179.9506579,200.0,29.172,1.652972471,25.36609091,24.0,Moderate
434.56,679,68.0,40,199.9424342,240.0,34.034,2.0908775,21.74236364,24.0,Moderate
431.36,674,55.0,30,239.9259868,290.0,43.758,1.543818385,16.30677273,32.0,Moderate
1181.44,1846,249.0,260,379.9013158,280.0,58.344,5.554386698,82.54045455,56.0,Poor
829.44,1296,141.0,30,379.8848684,510.0,68.068,3.145323206,6.844818182,40.0,Poor
726.4,1135,92.0,70,359.8930921,300.0,63.206,2.108498207,64.42181818,40.0,Poor
775.68,1212,59.0,90,479.8601974,230.0,82.654,1.171026738,68.44818182,56.0,Poor
701.44,1096,103.0,50,319.8848684,200.0,68.068,2.503874402,70.46136364,16.0,Poor
1213.44,1896,306.0,260,259.9259868,310.0,43.758,8.252180899,82.54045455,32.0,Poor
135.68,212,22.0,20,59.98355263,30.0,9.724,1.235033542,22.54763636,8.0,Good
1135.36,1774,166.0,260,519.8519737,280.0,87.516,3.165486046,102.6722727,64.0,Poor
254.72,398,35.93565348,50,119.9917763,112.4008831,4.862,1.426336413,1.99305,40.0,Moderate
407.68,637,63.72342624,50,179.9588816,173.5035021,24.31,2.065307109,1.10725,32.0,Moderate
455.04,711,71.00984334,100,199.9671053,106.4767662,19.448,2.183290066,7.0864,48.0,Moderate
330.88,517,53.76548932,40,139.9835526,143.3229446,9.724,1.975773977,1.99305,40.0,Moderate
1242.24,1941,274.7317129,250,379.8930921,544.4160821,63.206,6.128444532,14.6157,48.0,Poor
989.44,1546,99.51565681,270,559.8519737,196.3152925,87.516,1.82863476,188.2325,80.0,Poor
1068.16,1669,64.66671084,350,699.8355263,185.2007054,97.24,1.062808314,133.7558,120.0,Poor
942.72,1473,119.9665707,280,479.9095395,232.7465643,53.482,2.380963386,93.67335,104.0,Poor
775.04,1211,156.5653097,190,259.9424342,264.8113081,34.034,4.222105826,39.861,48.0,Poor
1187.84,1856,174.6639509,350,519.8519737,312.0216578,87.516,3.330700599,108.0676,64.0,Poor
1263.36,1974,263.9425723,350,419.8848684,366.622134,68.068,5.600367115,107.6247,56.0,Poor
1066.88,1667,119.4802649,330,579.8190789,186.1912569,106.964,2.157357356,188.2325,56.0,Poor
485.12,758,52.0,70,259.9259868,220.0,43.758,1.402331395,21.33972727,32.0,Poor
433.92,678,84.0,80,199.9588816,220.0,24.31,2.582742449,12.28040909,40.0,Moderate
1781.12,2783,576.0,540,219.9259868,320.0,43.758,16.88715045,3.019772727,16.0,Bad
803.2,1255,174.0,170,259.9424342,170.0,34.034,4.692268135,18.52127273,48.0,Poor
337.92,528,40.0,60,239.9506579,170.0,29.172,1.122719286,43.48472727,48.0,Moderate
440.96,689,36.0,60,259.9424342,220.0,34.034,0.970814097,2.818454545,48.0,Moderate
513.28,802,92.85292624,30,199.9588816,337.0102441,24.31,2.854942787,14.1728,40.0,Poor
538.24,841,65.52229149,90,279.9506579,258.2009705,29.172,1.702630839,20.59485,64.0,Poor
697.6,1090,95.48600542,110,339.9177632,356.7968476,48.62,2.251774824,17.49455,56.0,Poor
514.56,804,56.94063963,130,279.9342105,188.1867722,38.896,1.479675616,19.9305,48.0,Poor
928.0,1450,105.2190557,280,499.8684211,218.9210881,77.792,2.046155867,101.867,72.0,Poor
1324.8,2070,201.693798,400,599.8519737,309.1461123,87.516,3.580491623,143.9425,96.0,Bad
864.0,1350,100.9264493,130,459.8766447,438.516296,72.93,2.046239583,26.574,64.0,Poor
556.8,870,74.57495511,170,259.9671053,147.0444787,19.448,2.01097173,29.89575,72.0,Poor
531.2,830,72.73548026,150,259.9424342,166.4274112,34.034,1.961461933,20.15195,48.0,Poor
1811.2,2830,305.9359156,590,759.8519737,337.6767061,87.516,4.82545345,232.5225,160.0,Bad
1350.4,2110,119.7580697,480,799.8355263,212.4227157,97.24,1.841096727,155.015,160.0,Poor
1101.44,1721,138.4252969,320,559.8684211,209.0156994,77.792,2.543575549,201.5195,96.0,Poor
456.96,714,63.58111447,40,219.9588816,266.6117541,24.31,1.863929787,24.8024,48.0,Moderate
838.4,1310,91.93025039,170,459.8601974,264.9932882,82.654,1.863878919,155.015,48.0,Poor
224.0,350,25.34785991,30,119.9835526,113.627387,9.724,1.006126537,13.7299,32.0,Moderate
1868.8,2920,169.4580472,770,1099.819079,172.1695995,106.964,2.221640259,186.018,264.0,Bad
244.48,382,22.0852428,30,139.9753289,136.1340537,14.586,0.811612251,2.87885,32.0,Moderate
454.4,710,44.80065673,80,259.9424342,194.748032,34.034,1.20814192,37.6465,48.0,Moderate
243.84,381,21.8373952,40,139.9835526,121.8958017,9.724,0.802480508,2.43595,40.0,Moderate
556.8,870,80.39848452,50,259.9671053,340.3265974,19.448,2.168007735,9.07945,72.0,Poor
694.4,1085,158.9467674,120,199.9588816,337.9000242,24.31,4.887125755,12.62265,40.0,Poor
1440.0,2250,189.9321594,460,719.9013158,388.5544577,58.344,3.077755998,54.9196,192.0,Bad
263.68,412,19.80130163,30,159.9753289,153.6031013,14.586,0.680674369,2.2145,40.0,Moderate
1067.52,1668,99.84615619,240,619.9506579,342.726715,29.172,1.743512044,143.0567,200.0,Poor
672.64,1051,105.5447845,50,299.9671053,390.1001688,19.448,2.649550036,50.71205,88.0,Poor
903.04,1411,151.7265771,200,379.9013158,376.3478181,58.344,3.384530448,38.0894,56.0,Poor
153.6,240,19.0,20,79.97532895,40.0,14.586,0.923735741,79.35580223,16.0,Good
217.6,340,33.0,30,99.98355263,120.0,9.724,1.434900615,9.8080205,24.0,Moderate
1031.68,1612,223.0,250,339.9013158,380.0,58.344,5.258968919,10.69965873,40.0,Poor
1004.16,1569,257.0,110,239.9424342,520.0,34.034,7.213595024,45.47354959,40.0,Poor
677.76,1059,69.39478669,150,359.9342105,212.0815183,38.896,1.590330711,101.20265,80.0,Poor
1007.36,1574,73.42677121,210,619.9013158,409.6734947,58.344,1.282228177,73.5214,152.0,Poor
1271.04,1986,82.90497879,320,819.7861842,399.6103422,126.412,1.258932598,137.52045,120.0,Poor
1318.4,2060,98.97333282,330,819.7697368,354.8408403,136.136,1.502949603,223.88595,104.0,Poor
944.0,1475,84.12445627,130,559.8601974,486.8347484,82.654,1.545804751,58.24135,88.0,Poor
1754.88,2742,240.9355435,600,859.7861842,417.3675018,126.412,3.572545807,84.151,136.0,Bad
831.36,1299,135.3795653,130,359.9013158,401.1507603,58.344,3.102655538,52.2622,48.0,Poor
1018.88,1592,130.537583,240,519.9013158,341.3790364,58.344,2.489128244,108.73195,112.0,Poor
1836.8,2870,243.8144868,420,899.7532895,581.6253822,145.86,3.5340277,256.66055,120.0,Bad
748.16,1169,13.34107229,80,559.8848684,367.2432106,68.068,0.245139636,104.5244,112.0,Poor
823.68,1287,21.71424667,150,599.8273026,345.4325897,102.102,0.385481745,85.4797,72.0,Poor
2387.2,3730,218.9643425,620,1399.712171,390.8383193,170.17,2.544639075,664.35,280.0,Bad
647.68,1012,77.89601718,130,339.9177632,282.8193913,48.62,1.836963329,13.46416,56.0,Poor
1091.2,1705,375.8479706,20,40.0,617.5004009,5.0,25.83773133,143.0567,8.0,Bad
275.2,430,33.75748878,40,139.9917763,143.234135,4.862,1.24048362,0.8858,48.0,Moderate
1128.96,1764,115.1167124,310,639.9013158,301.6927609,58.344,1.978581939,34.878375,160.0,Poor
901.76,1409,114.6073525,200,459.9177632,343.2149609,48.62,2.323510034,39.19665,104.0,Poor
1171.2,1830,175.8569102,320,539.9342105,383.0599851,38.896,3.290494579,48.719,152.0,Poor
1619.2,2530,483.7845573,310,219.9342105,483.2437132,38.896,14.18331574,284.3418,24.0,Bad
928.0,1450,289.6110546,80,99.97532895,542.2682701,14.586,12.59333853,29.6743,16.0,Poor
744.32,1163,102.959453,60,359.9095395,349.8326311,53.482,2.359618061,94.55915,56.0,Poor
743.04,1161,112.0377129,130,339.8930921,284.2767722,63.206,2.64219721,58.68425,32.0,Poor
947.2,1480,94.43889745,180,539.8601974,298.1381315,82.654,1.767186632,198.19775,80.0,Poor
526.72,823,23.38753429,60,359.9259868,203.4671549,43.758,0.535981746,133.7558,72.0,Poor
476.8,745,152.4908123,20,39.99177632,274.5623056,4.862,10.48408406,14.1728,8.0,Moderate
2208.0,3450,696.9715615,370,159.9588816,970.5889634,24.31,23.95979194,134.6416,24.0,Bad
794.24,1241,57.93682515,150,499.9753289,360.2593159,14.586,1.126555441,7.5293,176.0,Poor
259.84,406,37.61758289,60,119.9917763,101.4866788,4.862,1.493094547,1.660875,40.0,Moderate
1753.6,2740,219.6721916,440,859.8601974,244.2159616,82.654,3.257116733,558.054,208.0,Bad
826.88,1292,96.02446958,210,439.9259868,293.4019471,43.758,1.990509581,24.58095,104.0,Poor
1798.4,2810,98.93572639,770,1199.777961,260.7374567,131.274,1.241866382,20.28482,264.0,Bad
1708.8,2670,332.9725306,520,619.8930921,533.8639936,63.206,5.814631174,37.95653,144.0,Bad
844.8,1320,94.19945782,200,459.9259868,283.20758,43.758,1.909750325,77.0646,112.0,Poor
958.08,1497,216.7556348,170,279.9177632,480.4154311,48.62,5.632838903,2.6574,32.0,Poor
1232.64,1926,176.2833391,320,579.9424342,388.3180803,34.034,3.182665443,106.296,176.0,Poor
903.04,1411,150.5274091,210,379.9506579,364.4676613,29.172,3.357562844,25.001705,104.0,Poor
1036.8,1620,97.78230805,320,599.9671053,278.3064137,19.448,1.735676279,45.84015,208.0,Poor
1130.88,1767,247.0493225,350,339.9259868,328.1154673,43.758,5.825908343,9.96525,64.0,Poor
865.28,1352,143.7238086,200,359.9588816,285.3571038,24.31,3.293627153,58.9057,104.0,Poor
311.68,487,37.38850751,80,159.9753289,106.4166034,14.586,1.285238679,2.546675,40.0,Moderate
499.84,781,77.82966687,90,219.9671053,149.7509705,19.448,2.281594524,60.89875,56.0,Poor
1452.8,2270,239.8172365,510,619.8930921,349.8810551,63.206,4.187879333,12.22404,144.0,Bad
517.76,809,37.40802198,20,319.9342105,313.920877,38.896,0.909298695,46.5045,64.0,Poor
1292.8,2020,374.3006246,330,159.9835526,397.0572093,9.724,12.86634071,117.58995,48.0,Poor
1097.6,1715,109.7419942,260,619.9095395,280.5587825,53.482,1.916376568,217.9068,160.0,Poor
442.24,691,104.575608,40,119.9671053,227.0898493,19.448,4.151179114,3.63178,16.0,Moderate
1523.2,2380,284.1420921,430,579.8519737,476.0389755,87.516,5.130375677,96.77365,88.0,Bad
838.4,1310,87.13108243,220,459.9095395,308.0032189,53.482,1.766481381,9.07945,96.0,Poor
3104.0,4850,366.6563255,950,1399.613487,582.3434453,228.514,4.261154552,420.755,184.0,Bad
1446.4,2260,71.86106115,440,979.7861842,155.1278664,126.412,0.998159936,376.465,184.0,Bad
798.72,1248,58.30705248,270,499.9177632,154.4600544,48.62,1.133819619,83.04375,120.0,Poor
588.8,920,101.9702086,140,239.9588816,192.7563774,24.31,2.862048949,2.87885,56.0,Poor
562.56,879,83.4421257,20,259.9671053,388.6899247,19.448,2.250081889,14.83715,72.0,Poor
748.8,1170,150.7620236,60,259.9095395,362.6428692,53.482,4.06586554,29.2314,16.0,Poor
1090.56,1704,180.0455177,350,459.9095395,167.347134,53.482,3.650213517,192.88295,96.0,Poor
1021.44,1596,111.6911638,190,559.8355263,373.5708319,97.24,2.052394078,144.16395,64.0,Poor
